// Это надо превратить в bin базу, использовать form_bin - предварительно
//  сделать изменеия в коде f_or_ex.cpp в соответствии с инструкциями
2 386 0 01.10.199806:08:07 302 600779 600626    0 0
1 4   0 01.10.199806:08:07 302 600626 4824      0 0
6 3   0 01.10.199806:08:07 302 600783 2715      0 0
1 85  0 01.10.199806:08:07 302 600779 602171132 0 0
1 155 0 01.10.199806:08:07 302 600485 271005111 0 0
2 208 0 01.10.199806:08:07 302 600779 2215      0 0
6 99  0 01.10.199806:08:07 302 600626 2803912   0 0
5 15  0 01.10.199806:08:07 302 600783 271005111 0 0
4 159 0 01.10.199806:08:07 302 600779 600626    0 0
1 3   0 01.10.199806:08:07 302 600626 4824      0 0
1 385 0 01.10.199806:08:07 302 600783 2715      0 0
0 85  0 01.10.199806:08:07 302 600779 602171132 0 0
1 99  0 01.10.199806:08:07 302 600485 271005111 0 0
4 2   0 01.10.199806:08:07 302 600779 2215      0 0
6 4   0 01.10.199806:08:07 302 600626 2803912   0 0
0 155 0 01.10.199806:08:07 302 600783 271005111 0 0
0 208 0 01.10.199806:08:07 302 600779 600626    0 0
